ImgID;Detector;Descriptor;TTCLidar(s);TTCCamera(s);Xmin(m)
3;AKAZE;BRIEF;13.9161;13.6728;7.793
4;AKAZE;BRIEF;7.11572;13.9793;7.685
5;AKAZE;BRIEF;16.2511;15.1106;7.638
6;AKAZE;BRIEF;12.4213;13.9093;7.577
7;AKAZE;BRIEF;34.3404;15.9355;7.555
8;AKAZE;BRIEF;9.34376;14.4514;7.475
9;AKAZE;BRIEF;18.1318;13.5101;7.434
10;AKAZE;BRIEF;18.0318;11.6673;7.393
11;AKAZE;BRIEF;3.83244;12.3566;7.205
12;AKAZE;BRIEF;-10.8537;11.6794;7.272
13;AKAZE;BRIEF;9.22307;10.1188;7.194
14;AKAZE;BRIEF;10.9678;9.85941;7.129
15;AKAZE;BRIEF;8.09422;9.48744;7.042
16;AKAZE;BRIEF;3.17535;9.69853;6.827
17;AKAZE;BRIEF;-9.99424;9.50336;6.896
18;AKAZE;BRIEF;8.30978;9.12938;6.814
;;;;;
1;AKAZE;ORB;12.9722;12.4495;7.913
2;AKAZE;ORB;12.264;14.5591;7.849
3;AKAZE;ORB;13.9161;13.3166;7.793
4;AKAZE;ORB;7.11572;14.3789;7.685
5;AKAZE;ORB;16.2511;15.577;7.638
6;AKAZE;ORB;12.4213;13.7785;7.577
7;AKAZE;ORB;34.3404;15.6234;7.555
8;AKAZE;ORB;9.34376;14.1891;7.475
9;AKAZE;ORB;18.1318;13.4444;7.434
10;AKAZE;ORB;18.0318;11.7521;7.393
11;AKAZE;ORB;3.83244;12.4121;7.205
12;AKAZE;ORB;-10.8537;11.5441;7.272
13;AKAZE;ORB;9.22307;9.98404;7.194
14;AKAZE;ORB;10.9678;10.4125;7.129
15;AKAZE;ORB;8.09422;10.5321;7.042
16;AKAZE;ORB;3.17535;9.69853;6.827
17;AKAZE;ORB;-9.99424;8.97547;6.896
18;AKAZE;ORB;8.30978;9.14277;6.814
;;;;;
1;AKAZE;FREAK;12.9722;12.1239;7.913
2;AKAZE;FREAK;12.264;14.0613;7.849
3;AKAZE;FREAK;13.9161;13.9589;7.793
4;AKAZE;FREAK;7.11572;14.2454;7.685
5;AKAZE;FREAK;16.2511;16.1433;7.638
6;AKAZE;FREAK;12.4213;14.5111;7.577
7;AKAZE;FREAK;34.3404;15.4456;7.555
8;AKAZE;FREAK;9.34376;13.6867;7.475
9;AKAZE;FREAK;18.1318;13.0989;7.434
10;AKAZE;FREAK;18.0318;12.0414;7.393
11;AKAZE;FREAK;3.83244;12.2112;7.205
12;AKAZE;FREAK;-10.8537;10.9924;7.272
13;AKAZE;FREAK;9.22307;10.9714;7.194
14;AKAZE;FREAK;10.9678;9.99992;7.129
15;AKAZE;FREAK;8.09422;9.86979;7.042
16;AKAZE;FREAK;3.17535;10.3531;6.827
17;AKAZE;FREAK;-9.99424;9.10004;6.896
18;AKAZE;FREAK;8.30978;8.65041;6.814
;;;;;
1;AKAZE;AKAZE;12.9722;12.3444;7.913
2;AKAZE;AKAZE;12.264;14.0983;7.849
3;AKAZE;AKAZE;13.9161;12.8828;7.793
4;AKAZE;AKAZE;7.11572;14.4781;7.685
5;AKAZE;AKAZE;16.2511;16.7468;7.638
6;AKAZE;AKAZE;12.4213;13.8675;7.577
7;AKAZE;AKAZE;34.3404;15.3448;7.555
8;AKAZE;AKAZE;9.34376;14.1378;7.475
9;AKAZE;AKAZE;18.1318;13.8398;7.434
10;AKAZE;AKAZE;18.0318;11.5483;7.393
11;AKAZE;AKAZE;3.83244;12.1341;7.205
12;AKAZE;AKAZE;-10.8537;11.0554;7.272
13;AKAZE;AKAZE;9.22307;11.2852;7.194
14;AKAZE;AKAZE;10.9678;10.5842;7.129
15;AKAZE;AKAZE;8.09422;10.1989;7.042
16;AKAZE;AKAZE;3.17535;9.81256;6.827
17;AKAZE;AKAZE;-9.99424;9.06452;6.896
18;AKAZE;AKAZE;8.30978;8.97386;6.814
;;;;;
1;AKAZE;SIFT;12.9722;12.4103;7.913
2;AKAZE;SIFT;12.264;14.6432;7.849
3;AKAZE;SIFT;13.9161;13.2293;7.793
4;AKAZE;SIFT;7.11572;14.1141;7.685
5;AKAZE;SIFT;16.2511;16.5952;7.638
6;AKAZE;SIFT;12.4213;13.9616;7.577
7;AKAZE;SIFT;34.3404;15.7668;7.555
8;AKAZE;SIFT;9.34376;13.7661;7.475
9;AKAZE;SIFT;18.1318;14.0783;7.434
10;AKAZE;SIFT;18.0318;11.7502;7.393
11;AKAZE;SIFT;3.83244;12.2176;7.205
12;AKAZE;SIFT;-10.8537;11.1693;7.272
13;AKAZE;SIFT;9.22307;10.861;7.194
14;AKAZE;SIFT;10.9678;10.4738;7.129
15;AKAZE;SIFT;8.09422;9.94153;7.042
16;AKAZE;SIFT;3.17535;10.1281;6.827
